Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Video call interview,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6517194336f3a4c8b9ada4f0,6480d0f369d301b4e2c1414e,REJECTED,2023-09-29T18:37:13.553000Z,2023-09-29T18:39:46.265000Z,2023-09-30T14:29:18.113000Z,2023-09-29T19:39:51.013000Z,153.0,C14N08G7,68,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
651719452c466f548856da45,5d5a1e6c9fe0f000170f416e,REJECTED,2023-09-29T18:36:53.762000Z,2023-09-29T18:38:34.559000Z,2023-10-01T08:15:43.409000Z,2023-09-29T18:38:35.268000Z,101.0,C14N08G7,129,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
651719c0aadbc458f22e70f8,645532829f1b1e5f8bf37b2c,REJECTED,2023-09-29T18:39:10.240000Z,2023-09-29T18:51:27.245000Z,2023-10-01T08:16:15.038000Z,2023-09-29T18:51:28.083000Z,738.0,C14N08G7,54,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65171f2436f3a4c8b9ada5c4,5bc08c345e8a950001892156,RETURNED,2023-09-29T19:11:56.200000Z,,,,,,2299,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65171f284090a37cf83b394d,63cffdbf780f8b199748645b,RETURNED,2023-09-29T19:12:00.021000Z,,,,,,495,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65171f2862d42c2cebb7f936,5c4cea77889752000156917d,RETURNED,2023-09-29T19:12:00.496000Z,,,,,,408,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65171f29affcf31d3cbf92da,611d6078d33b376bfb58198f,TIMED-OUT,2023-09-29T19:02:01.441000Z,,,,259529.0,,164,English,"Yes, I would be willing to take part in a face to face video interview",23,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time
65171f2a3c6c6b6ab551c18b,5ae0b456dc323f0001635e0b,RETURNED,2023-09-29T19:02:02.716000Z,,,,,,1035,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65171f405d4548d955e6e856,634d7250f674c11a71d1b88e,RETURNED,2023-09-29T19:12:24.311000Z,,,,,,635,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65172037adfbdea8fcdbcbfc,611044a2eb8abb0a83e9ddb4,RETURNED,2023-09-29T19:06:36.253000Z,,,,,,36,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
651720892ac89f36ddee4b51,615118f6c3741c00c9e84a70,RETURNED,2023-09-29T19:07:53.047000Z,,,,,,170,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
651720cd0f4eddb0a4e808a9,60f8334891c71768b6719ef6,REJECTED,2023-09-29T19:09:27.140000Z,2023-09-29T19:17:08.625000Z,2023-10-01T08:15:56.588000Z,2023-09-29T19:17:09.525000Z,462.0,C14N08G7,35,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65192b0ad9315aaa27319ab5,5bf9157e8e9c9d000109f674,RETURNED,2023-10-01T08:17:14.311000Z,,,,,,352,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65192b2c938abc00b566cd65,5ed4daca92c1ed0008150881,RETURNED,2023-10-01T08:17:48.765000Z,,,,,,170,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65192b3049865c2cea604b26,60057205a17891782663e045,RETURNED,2023-10-01T08:27:52.672000Z,,,,,,333,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65192ba449865c2cea604b34,61216c57c465b4c0b056f277,REJECTED,2023-10-01T08:19:48.501000Z,2023-10-01T08:23:08.110000Z,2023-10-01T09:27:24.988000Z,2023-10-01T08:23:08.906000Z,200.0,C14N08G7,359,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6519861d75a27125a39713aa,5f5e64f6da1b626ff39959b5,RETURNED,2023-10-01T14:45:49.745000Z,,,,,,83,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
